Symbol,Name,Reason
LIN,Linde plc,Avg. Volume
MHK,"Mohawk Industries, Inc.",Eps
NFLX,"Netflix, Inc.",P/E
PSA,Public Storage,Avg. Volume
TRGP,Targa Resources Corp.,Operating Margins
XRAY,DENTSPLY SIRONA Inc.,Eps
CHTR,"Charter Communications, Inc.",Debt/Equity
CDW,CDW Corporation,EBITDA Margin
PRU,"Prudential Financial, Inc.",EBITDA Margin
ILMN,"Illumina, Inc.",Eps
DHR,Danaher Corporation,Revenue Growth
CAG,"Conagra Brands, Inc.",Operating Margins
FICO,Fair Isaac Corporation,P/E
CMI,Cummins Inc.,P/E
CCL,Carnival Corporation & plc,Operating Margins
AEE,Ameren Corporation,Revenue Growth
BKNG,Booking Holdings Inc.,Operating Margins
LRCX,Lam Research Corporation,Revenue Growth
DD,"DuPont de Nemours, Inc.",P/E
SJM,The J. M. Smucker Company,Eps
MAA,"Mid-America Apartment Communities, Inc.",Avg. Volume
WELL,Welltower Inc.,P/E
GPC,Genuine Parts Company,EBITDA Margin
ICE,"Intercontinental Exchange, Inc.",Avg. Volume
DE,Deere & Company,Debt/Equity
STLD,"Steel Dynamics, Inc.",Operating Margins
PNR,Pentair plc,Operating Margins
ALLE,Allegion plc,Debt/Equity
AVGO,Broadcom Inc.,Debt/Equity
JCI,Johnson Controls International plc,EBITDA Margin
ES,Eversource Energy,Eps
SO,The Southern Company,Debt/Equity
BRO,"Brown & Brown, Inc.",Avg. Volume
CBRE,"CBRE Group, Inc.",EBITDA Margin
NUE,Nucor Corporation,Operating Margins
HD,"The Home Depot, Inc.",Operating Margins
LVS,Las Vegas Sands Corp.,Debt/Equity
CB,Chubb Limited,Avg. Volume
PAYX,"Paychex, Inc.",Avg. Volume
KO,The Coca-Cola Company,Debt/Equity
KLAC,KLA Corporation,Debt/Equity
ROP,"Roper Technologies, Inc.",Avg. Volume
KIM,Kimco Realty Corporation,Beta
DOW,Dow Inc.,P/E
TSN,"Tyson Foods, Inc.",Eps
PWR,"Quanta Services, Inc.",P/E
